,sales_date,store,id,product_type,next_sale
0,2022-01-01 10:00:00,Lewisham,1,Liquid ,2022-01-01 11:00:00
1,2022-01-01 11:00:00,Lewisham,2,Liquid ,2022-01-01 11:00:00
2,2022-01-01 11:00:00,Lewisham,3,Liquid ,2022-01-01 11:00:00
3,2022-01-01 11:00:00,Lewisham,13,Liquid ,2022-01-01 12:00:00
4,2022-01-01 12:00:00,Lewisham,14,Bar ,2022-01-01 13:00:00
5,2022-01-01 13:00:00,Lewisham,4,Liquid ,2022-01-01 14:00:00
6,2022-01-01 14:00:00,Lewisham,5,Liquid ,2022-01-01 14:00:00
7,2022-01-01 14:00:00,Lewisham,15,Liquid ,2022-01-01 15:00:00
8,2022-01-01 15:00:00,Lewisham,6,Liquid ,2022-01-01 15:00:00
9,2022-01-01 15:00:00,Lewisham,7,Liquid ,2022-01-01 15:00:00
10,2022-01-01 15:00:00,Lewisham,8,Liquid ,2022-01-01 15:00:00
11,2022-01-01 15:00:00,Lewisham,16,Liquid ,2022-01-01 16:00:00
12,2022-01-01 16:00:00,Lewisham,9,Liquid ,2022-01-01 16:00:00
13,2022-01-01 16:00:00,Lewisham,10,Bar ,2022-01-01 17:00:00
14,2022-01-01 17:00:00,Lewisham,11,Bar ,2022-01-01 17:00:00
15,2022-01-01 17:00:00,Lewisham,12,Bar ,2022-01-02 09:00:00
16,2022-01-02 09:00:00,Lewisham,17,Liquid ,2022-01-02 10:00:00
17,2022-01-02 10:00:00,Lewisham,18,Liquid ,2022-01-02 10:00:00
18,2022-01-02 10:00:00,Lewisham,30,Liquid ,2022-01-02 10:00:00
19,2022-01-02 10:00:00,Lewisham,31,Bar ,2022-01-02 10:00:00
20,2022-01-02 10:00:00,Lewisham,38,Bar ,2022-01-02 11:00:00
21,2022-01-02 11:00:00,Lewisham,19,Liquid ,2022-01-02 11:00:00
22,2022-01-02 11:00:00,Lewisham,32,Liquid ,2022-01-02 11:00:00
23,2022-01-02 11:00:00,Lewisham,39,Liquid ,2022-01-02 12:00:00
24,2022-01-02 12:00:00,Lewisham,20,Bar ,2022-01-02 12:00:00
25,2022-01-02 12:00:00,Lewisham,33,Liquid ,2022-01-02 12:00:00
